,B Cells,Basal,Endothelial,Fibroblasts,Intercalated,Ionocytes,Macrophages,Mucous,Myoepithelial,Myofibroblasts,RBCs,Schwann Cells,Seromucous,Serous,Striated,T Cells
YWHAQ,0.0,0.0,0.0,0.0,0.0,0.9796123544375102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
ATP6V1C2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDIA6,0.0,0.0,0.0,0.0,0.9144132653872172,0.0,0.0,0.8856667081514994,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
LAPTM4A,0.0,0.0,0.0,0.8409112731615702,0.7412895480791728,0.6962992111841838,0.0,0.0,0.7921860297520955,0.7943947076797485,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
RHOB,0.0,0.6930866559346517,0.0,0.6893509308497111,0.6666666666666666,0.7000134507815043,0.0,0.0,0.0,0.7687403162320455,0.0,0.7990822037061055,0.0,0.0,0.0,0.0
SF3B6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OST4,0.0,0.6741625825564067,0.0,0.0,0.6680822094281514,0.7126579880714417,0.6,0.724231771628062,0.6333915988604227,0.0,0.0,0.0,0.0,0.6117404619852702,0.0,0.0
ATRAID,0.0,0.0,0.0,0.0,0.0,0.9890234589576721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
PPP1CB,0.0,0.0,0.0,0.0,0.9741392850875854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
COX7A2L,0.0,0.0,0.0,0.0,0.9034919897715251,0.9541947245597839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
ZFP36L2,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872371236483256
EPAS1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCFD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CALM2,0.0,0.30482394695281984,0.28829283714294435,0.32863659858703614,0.33517115910847983,0.6279463052749634,0.29037451346715293,0.340531059106191,0.46136372884114585,0.3912705103556315,0.0,0.43978718916575116,0.0,0.26666666666666666,0.33421276410420736,0.0
EPCAM,0.0,0.0,0.0,0.0,0.871216889222463,0.8976745486259461,0.0,0.8425565520922343,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
NRXN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SPTBN1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RPS27A,0.017104713122049968,0.2394828240076701,0.0969952623049418,0.0798178474108378,0.1830649495124817,0.10936516920725504,0.1188641866048177,0.13423951864242553,0.20357513825098675,0.0978903333346049,0.0,0.015940244992574057,0.0047935565312703455,0.012088509400685628,0.0614314079284668,0.18577152093251545
EFEMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANXA4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPG,0.0,0.0,0.0,0.0,0.0,0.9792292992273967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
PAIP2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACTG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SUCLG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TMSB10,0.0,0.24934875567754108,0.5129232168197632,0.28251102368036907,0.259512460231781,0.33477596839269,0.39042283296585084,0.25808128515879314,0.251243797938029,0.242768665154775,0.0,0.3052453358968099,0.0,0.2,0.23564937114715576,0.3968259294827779
VAMP8,0.0,0.0,0.0,0.0,0.8537560065587362,0.8449386835098267,0.0,0.7838534553845723,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.7586011926333109,0.0
RNF181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000211592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAHD2A,0.0,0.0,0.0,0.0,0.9818230668703715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
COX5B,0.0,0.5476386030515035,0.48647626241048175,0.0,0.5221622625986735,0.6791606227556864,0.0,0.5026693264643352,0.49568230311075845,0.5361278732617696,0.0,0.0,0.0,0.4666666666666667,0.6214500586191813,0.0
RPL31,0.0,0.9140801628430685,0.0,0.0,0.9076326608657836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0
ECRG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBI,0.0,0.0,0.0,0.0,0.8196106314659118,0.826965618133545,0.7370375196139017,0.7890460133552551,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0
TFCP2L1,0.0,0.8339941064516704,0.0,0.0,0.8,0.8428744316101074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264762043952942,0.0
MZT2B,0.0,0.6361066619555156,0.0,0.60184086561203,0.6505127906799316,0.6448651949564616,0.0,0.6561189929644267,0.6619396050771077,0.0,0.0,0.0,0.0,0.6,0.0,0.0
MZT2A,0.0,0.0,0.0,0.0,0.9554122964541117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RND3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SCN7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATP5MC3,0.0,0.7382338523864747,0.0,0.0,0.6898318250974019,0.7637978792190552,0.0,0.6799222071965535,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7967004736264547,0.0
