,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
ITSN2,0.0,0.0,0.0,0.0,0.0,2.5697627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6527255,0.0,0.0
BIRC6,1.5542091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2232423,0.0,0.0,0.0
SLC8A1,0.0,0.0,0.0,0.0,0.0,0.0,1.9689747,0.0,0.0,0.0,0.0,2.2452083,0.0,0.0
EML4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196681,2.2001014,0.0,0.0,0.0,0.0,0.0
PLEKHH2,0.0,0.0,0.0,0.0,2.431281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCE,1.5675876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4875463,0.0,0.0
EPAS1,0.0,0.0,2.6997366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRXN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1891073,0.0,3.8373637
SPTBN1,1.8732843,2.4849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.717089,0.0,1.9337573
RTN4,1.7403343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
CCDC88A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1891073,0.0,0.0
USP34,1.574229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
