,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
ENSG00000066032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8433793,0.0,0.0
ENSG00000115459,1.7403343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168883,0.0,0.0,0.0,0.0,0.0,2.8438175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1631815,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144218,0.0,0.0,0.0,0.0,0.0,2.960883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163162,0.0,0.0,0.0,0.0,0.0,0.0,2.316152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5002618,0.0,0.0,0.0,0.0
ENSG00000169756,1.6322217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175497,0.0,0.0,0.0,0.0,3.786538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075884,0.0,0.0,0.0,0.0,0.0,3.1536555,0.0,2.665732,3.1230493,2.3519182,0.0,0.0,0.0,0.0
ENSG00000169554,0.0,0.0,0.0,0.0,0.0,0.0,2.889145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157827,1.597702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115183,0.0,0.0,2.0529914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466103,0.0,0.0
ENSG00000136546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1329641
ENSG00000091436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6358733,0.0,0.0,0.0
ENSG00000115252,0.0,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064989,1.1503698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
