,Arterial endothelial cells,BEST4+ enterocytes,Capillary endothelial cells,Colonocytes,Cycling B cells,Cycling/Secretory TA,DC1,DC2,Enterocytes,Enteroendocrine cells,Follicular B cells,Follicular helper T cells,Germinal center B cells,Glia,Goblet cells,ILC,Immature goblet cells,Intestinal macrophages,Lymphatic endothelial cells,Macrophages,Mast cells,Memory B cells,Monocytes,Myofibroblasts,NK cells,Naive B cells,Paneth,Pericytes,Plasma cells,Regulatory T cells,Stem cells,Stromal 1,Stromal 2,Stromal 3,TA,Tcm/Naive helper T cells,Tem/Effector helper T cells,Tem/Trm cytotoxic T cells,Trm cytotoxic T cells,Tuft cells,Type 1 helper T cells,Type 17 helper T cells,Venous endothelial cells,gamma-delta T cells
SREK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29260722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRGN,3.4188201,0.0,2.6092665,0.0,0.64198655,0.0,2.1427176,3.2018094,0.0,0.0,0.0,2.7943752,0.0,0.0,0.0,2.7749355,0.0,2.815447,0.0,2.6405444,3.34135,0.9762693,3.41405,0.0,3.3380222,0.0,0.0,0.0,1.6562278,2.9513814,0.0,0.0,0.0,0.0,0.0,2.1078658,2.6492553,2.9432554,2.5549464,0.0,2.7349663,2.7997308,2.288222,3.071471
SRI,0.0,2.079914,0.0,2.4759707,0.5409682,1.9198943,0.0,0.0,0.9397465,0.59455025,0.0,0.0,0.0,0.0,0.97298086,0.0,1.3280137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2336763,0.0,0.0,0.72346836,1.2164832,0.0,0.0,0.0,0.0,1.0589144,0.0,0.0,0.0,0.0
SRP14,3.0788112,1.497818,2.5962667,1.7536334,2.2425704,2.0379333,1.8851941,1.7405281,1.3594208,1.8193679,1.7214127,1.5657879,2.1159537,2.193677,1.3649307,1.7122338,1.7451944,1.5838877,2.0457735,1.794682,1.8189712,1.6899858,1.8855109,2.096202,1.9091167,1.526772,0.72877467,1.9718126,0.9323982,1.915508,1.7227337,2.188971,2.3032153,1.877681,1.7683969,1.4642892,1.9187279,1.8077706,1.7954147,1.8596554,1.6489818,1.7136775,2.2906132,1.8422426
SRP19,0.0,0.0,0.0,0.0,0.53090835,0.0,0.0,0.0,0.0,0.43260804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRP9,0.0,0.0,0.0,0.0,1.3824443,0.76013416,0.0,0.0,0.0,1.1023932,0.0,0.0,0.99468327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9529588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRPK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRPX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4203894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.0,0.32130888,0.0,0.0,0.875049,0.0,0.0,0.0,0.0,0.8870092,0.0,0.9626577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90175134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79044807,0.0,0.0,0.9562012
SRRM2,0.69364756,0.9374723,0.0,0.0,0.7109612,0.6290406,0.0,0.0,1.0299152,1.1673199,0.0,0.0,0.0,0.0,0.84001243,0.0,0.0,0.8522811,1.0065377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94542,0.0,0.0,0.8933979,0.0,0.0,0.0,0.0,0.0,1.0337517,0.0,0.0,0.77064997,0.0
SRSF1,0.0,0.0,0.0,0.0,0.59255505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29524374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8252188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6368685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF11,0.0,0.3340556,0.0,0.0,0.7770057,0.39963466,0.0,0.0,0.4774029,1.1023932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50596666,0.9882858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83410925,0.0,0.0,0.90594697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0022613
SRSF2,0.0,0.0,0.0,0.0,1.8580551,0.6519536,0.8497434,1.0025342,0.0,0.6212894,0.0,0.98208094,1.0935712,0.0,0.0,1.489583,0.0,0.6708199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50777763,0.0,0.7814114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2610384,1.1716828,0.0,0.9760113
SRSF3,0.0,0.48235577,0.0,0.0,2.1496089,1.0311906,1.0890598,1.3488694,0.49943757,1.1106672,0.0,1.2024583,1.5821656,0.0,0.41702315,1.6537501,0.0,0.88038623,0.5078304,0.0,0.0,1.1312464,1.2488778,0.0,0.8844975,1.063875,0.0,0.0,0.5057575,0.0,0.929976,0.94313586,0.86841303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4385073,1.3654737,0.7807055,1.091924
SRSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44946444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39620134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF5,0.0,1.0509238,0.0,0.6145694,0.98934585,0.55021274,0.5827121,1.0720046,0.742451,1.0956433,0.0,1.8342423,1.1977556,0.0,0.91596085,2.1174526,0.0,0.81638527,1.096882,0.0,1.6318907,1.5972307,0.874992,0.0,1.3899807,1.4419494,0.0,1.0550551,0.51430297,1.2520491,1.0172911,0.0,0.0,1.1984017,0.0,0.0,0.0,1.2934943,0.0,0.86212015,2.056254,1.7896793,0.85258985,1.4413333
SRSF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46216643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF7,0.0,0.0,0.0,0.0,1.734066,0.8588138,1.3980714,0.98281276,0.39212513,0.65285754,0.0,2.054176,1.2764738,0.0,0.0,1.7098188,0.0,0.679987,0.0,0.0,0.9691895,1.5236738,0.0,0.0,1.489583,1.4358172,0.0,0.0,0.46803582,1.3158098,0.77611816,0.0,0.0,0.0,0.0,0.0,0.0,2.0924559,1.2612202,0.0,2.256228,1.9937015,0.0,1.5449326
SRSF9,0.0,0.0,0.0,0.0,1.5377204,0.7673582,0.0,0.4260389,0.0,0.91330117,0.0,0.0,1.299283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30778784,0.0,0.7879559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS18L2,0.0,0.0,0.0,0.0,0.75311065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,0.0,0.0,0.0,0.0,0.6423279,0.0,0.0,0.0,0.0,0.4584573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59026253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSBP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSNA1,0.0,0.0,0.0,0.0,0.8638893,0.7254144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3895877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29707265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSR2,0.0,0.0,0.0,0.0,1.0357401,1.0967491,0.94184166,0.98427975,0.0,1.070113,0.0,1.2952248,0.54474306,0.0,0.48772964,0.82227576,0.0,0.74204737,0.0,0.0,0.0,1.100215,0.8782543,0.0,0.0,0.80056995,0.0,0.0,1.2213526,0.7768788,0.91910493,1.5941744,1.5503948,0.98228997,0.0,0.0,0.0,0.0,0.0,0.0,1.2870041,1.1981595,0.0,1.1686174
SSR3,0.0,0.0,0.0,0.0,0.62437415,0.52718425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4133096,0.0,0.5777097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSR4,0.0,0.89685124,1.2204378,0.6107167,1.4515146,1.715816,1.3082252,1.3922487,0.8849569,2.0965745,1.3523158,1.1754627,0.85220397,0.0,1.5123363,1.3924761,1.8870529,1.5067273,0.99759144,1.3148127,1.5242589,1.1392007,1.443161,0.0,1.5892671,1.1988093,0.0,0.0,3.473926,1.1737623,1.2381798,1.5053426,1.5898882,1.3716439,1.1215266,1.2981205,1.73397,1.4758968,1.5041163,0.9594675,1.3268936,1.4366103,0.0,1.3908869
SSRP1,0.0,0.0,0.0,0.0,0.65531784,0.22744006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.0,0.0,0.0,0.7026302,0.6635225,0.0,0.0,0.0,0.739549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST13,0.0,0.0,0.0,0.0,1.2119058,0.8252188,0.4966522,0.75543666,0.44813308,1.3044783,0.0,1.1763926,1.1818491,0.0,0.0,1.139851,0.0,0.5143165,0.8643395,0.0,0.0,1.2352743,0.0,0.0,0.0,1.0877371,0.0,0.0,0.0,0.0,1.2927269,0.8291397,0.0,0.9797888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99548924
ST14,0.0,0.9585346,0.0,0.8713738,0.0,0.6891216,0.0,0.0,0.74343336,0.0,0.0,0.0,0.0,0.0,0.67585707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6681913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST6GALNAC1,0.0,0.0,0.0,0.0,0.0,0.4949711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5434114,0.0,1.0584843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
