,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ARHGAP29,0.9427864074707031,0.8,0.0,0.0,0.0,0.0
CNN3,0.0,1.0,0.0,0.0,0.0,0.0
PRPF38B,0.0,0.0,0.884869921207428,0.8,0.0,0.0
GNAI3,0.0,0.0,0.0,1.0,0.0,0.0
CD53,0.0,0.0,0.8454278945922852,0.8,0.0,0.0
ATP5PB,0.0,0.0,0.0,1.0,0.0,0.0
C1orf162,0.0,0.0,0.0,1.0,0.0,0.0
RAP1A,0.0,0.0,0.0,1.0,0.0,0.0
CAPZA1,0.0,0.0,0.0,1.0,0.0,0.0
RHOC,0.7999899625778198,0.6941043496131897,0.0,0.6,0.0,0.0
CSDE1,0.0,0.8,0.0,0.8128845930099488,0.0,0.0
ATP1A1,0.0,0.0,0.0,1.0,0.0,0.0
CD2,0.0,0.0,1.0,0.0,0.0,0.0
RBM8A,0.0,0.0,0.8598708033561706,0.8,0.0,0.0
TXNIP,0.317839527130127,0.1438150405883789,0.0752294898033142,0.0,0.21051738262176514,0.18721820116043092
ECM1,0.0,1.0,0.0,0.0,0.0,0.0
MCL1,0.0,0.0,0.6,0.6729132533073425,0.0,0.6696576356887818
CTSS,0.0,0.0,0.0,1.0,0.0,0.0
S100A10,0.4356012225151062,0.5635413646697998,0.4,0.4678817391395569,0.0,0.0
S100A11,0.15537667274475098,0.3156936764717102,0.06426171064376832,0.3655587911605835,0.0,0.1996925950050354
S100A9,0.0,0.0,0.0,0.8,0.0,0.888135039806366
S100A8,0.0,0.0,0.0,0.0,0.0,1.0
S100A6,0.08217248916625977,0.35020487308502196,0.023582196235656737,0.21319401264190674,0.0,0.10162092447280884
S100A4,0.0,0.48715384006500245,0.464670741558075,0.5085255861282348,0.0,0.4
S100A13,0.0,1.0,0.0,0.0,0.0,0.0
JTB,0.0,0.8451106071472168,0.0,0.8,0.0,0.0
RPS27,0.03963943719863892,0.025723230838775635,0.29580638408660886,0.1637091040611267,0.019761765003204347,0.0
TPM3,0.0,0.0,0.8,0.8168707132339478,0.0,0.0
KRTCAP2,0.0,0.9141060590744019,0.0,0.8,0.0,0.0
SSR2,0.0,0.6,0.7684144616127014,0.605472731590271,0.0,0.0
LMNA,0.0,0.8,0.0,0.0,0.8056938886642456,0.0
MNDA,0.0,0.0,0.0,0.8,0.0,0.8576369643211365
IFI16,0.0,0.0,0.0,1.0,0.0,0.0
TAGLN2,0.4828220844268799,0.5602051973342895,0.4,0.445995569229126,0.0,0.0
CD48,0.0,0.0,0.8565879583358764,0.8,0.0,0.0
FCER1G,0.0,0.0,0.0,1.0,0.0,0.0
FCGR2A,0.0,0.0,0.0,1.0,0.0,0.0
FCGR3A,0.0,0.0,0.0,1.0,0.0,0.0
DDR2,0.0,1.0,0.0,0.0,0.0,0.0
RGS5,0.0,0.0,0.0,0.0,1.0,0.0
MGST3,0.0,0.7146299004554748,0.0,0.6,0.8137316226959228,0.0
CD247,0.0,0.0,1.0,0.0,0.0,0.0
DPT,0.0,1.0,0.0,0.0,0.0,0.0
FMO2,0.0,1.0,0.0,0.0,0.0,0.0
PRRC2C,0.0,0.6,0.7316700458526612,0.6580968141555786,0.0,0.0
PRDX6,0.0,1.0,0.0,0.0,0.0,0.0
GAS5,0.0,0.0,0.0,1.0,0.0,0.0
IER5,0.0,0.0,0.0,1.0,0.0,0.0
GLUL,0.0,0.6039329290390014,0.0,0.6,0.0,0.783708143234253
LAMC1,0.0,1.0,0.0,0.0,0.0,0.0
NCF2,0.0,0.0,0.0,1.0,0.0,0.0
ARPC5,0.0,0.4751401305198669,0.4,0.6633331179618835,0.41673811674118044,0.0
IVNS1ABP,0.0,0.0,0.0,1.0,0.0,0.0
PTGS2,0.0,0.0,0.0,0.8,0.0,0.9076543092727661
RGS2,0.0,0.0,0.0,0.8,0.0,0.9003168702125549
CFH,0.0,1.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.8334532499313354,0.8,0.0,0.0
BTG2,0.0,0.0,0.0,1.0,0.0,0.0
PRELP,0.0,1.0,0.0,0.0,0.0,0.0
NUCKS1,0.0,0.8172752857208252,0.0,0.0,0.8,0.0
RASSF5,0.0,0.0,0.0,1.0,0.0,0.0
CD55,0.0,0.6,0.0,0.7187554717063904,0.0,0.7151479959487915
CD34,0.0,1.0,0.0,0.0,0.0,0.0
