,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ARF1,0.0,1.2868143,1.1038395,0.95863104,0.9865948,0.0
GUK1,0.0,1.1291175,1.2967674,0.9164866,0.0,0.0
AGT,0.0,0.0,0.0,0.0,2.2363873,0.0
IRF2BP2,0.0,0.0,0.0,0.5074707,0.0,0.0
TOMM20,0.0,0.0,0.0,0.75609595,0.0,0.0
LYST,0.0,0.0,0.0,0.67243767,0.0,0.0
HNRNPU,0.0,0.7601948,1.1038395,1.7315073,0.0,0.0
ADI1,0.0,1.2129843,0.0,0.0,0.0,0.0
RPS7,2.5474977,2.2654624,3.185794,2.6401792,2.8053448,0.0
ID2,0.0,0.0,1.5889567,1.0832522,0.0,0.0
YWHAQ,0.0,0.9315582,0.0,0.0,0.813858,0.0
PDIA6,0.0,0.9731857,0.0,0.0,0.0,0.0
LAPTM4A,0.84515274,2.4700055,0.0,1.0374429,1.6745725,0.0
RHOB,0.0,0.0,0.0,0.0,1.6226885,0.0
SF3B6,0.0,0.7984955,0.0,0.0,0.0,0.0
RAB10,0.0,0.0,0.0,0.6244151,0.0,0.0
HADHA,0.0,0.0,0.0,0.53093743,0.0,0.0
OST4,0.0,1.187046,1.3743395,0.9943077,0.9085021,0.0
ATRAID,0.0,1.2200891,0.0,0.0,0.0,0.0
FOSL2,0.0,0.0,0.0,0.8016511,0.0,0.0
PPP1CB,0.0,0.8801384,0.0,0.96677876,0.0,0.0
LTBP1,0.0,1.6208956,0.0,0.0,0.0,0.0
VIT,0.0,0.87602913,0.0,0.0,0.0,0.0
SRSF7,0.0,0.900102,1.665819,0.8908476,0.8224904,0.0
ZFP36L2,0.0,1.7971967,2.453208,1.4451132,0.0,0.0
EPAS1,2.090512,0.0,0.0,0.0,0.90331984,0.0
CALM2,1.30425,2.1574621,1.7418859,2.204547,2.7171822,0.0
SPTBN1,2.1343517,1.9655356,0.0,0.0,0.0,0.0
RTN4,0.0,1.8414981,0.0,1.4010617,0.8758656,0.0
RPS27A,2.8883438,2.702074,3.9098752,3.2430828,2.8408916,2.833282
CCDC88A,0.0,0.0,0.0,0.69930387,0.0,0.0
EFEMP1,0.0,1.7769151,0.0,0.0,0.0,0.0
REL,0.0,0.0,0.0,1.2237766,0.0,0.0
ACTR2,0.0,0.0,0.0,1.5227976,0.0,0.0
PLEK,0.0,0.0,0.0,1.3184607,0.0,0.0
ANXA4,0.0,1.043242,0.0,0.0,0.0,0.0
PCBP1,0.0,0.0,0.0,1.4581223,0.0,0.0
SNRPG,0.0,0.0,0.0,0.39318842,0.0,0.0
MOB1A,0.0,0.0,0.0,0.9832314,0.0,0.0
MTHFD2,0.0,0.0,0.0,0.0,1.1521438,0.0
TMSB10,3.630034,2.4327016,3.4788322,3.6115158,1.3296468,2.1635137
TGOLN2,0.0,0.0,0.0,0.76174474,0.0,0.0
MAT2A,0.0,0.0,0.0,0.9677906,0.0,0.0
VAMP8,0.0,0.0,0.0,1.2623391,0.0,0.0
GNLY,0.0,0.0,3.643079,0.0,0.0,0.0
DUSP2,0.0,0.0,1.8532752,1.35615,0.0,0.0
COX5B,0.0,1.1034354,0.0,1.0531672,1.8544104,0.0
RPL31,0.0,1.0728266,1.817854,1.5422788,0.0,0.0
RNF149,0.0,0.0,0.0,0.9797629,0.0,0.0
LIMS1,0.0,0.0,0.0,1.2098396,0.0,0.0
IL1B,0.0,0.0,0.0,3.6362877,0.0,0.0
ACTR3,0.0,0.0,1.2570653,1.2734778,0.0,0.0
DBI,0.0,1.1659495,1.1424607,0.77634007,0.0,0.0
MZT2B,0.0,0.80268615,0.0,0.0,0.0,0.0
UBXN4,0.0,0.8503571,0.0,0.0,0.0,0.0
CXCR4,0.0,0.0,2.3723814,0.70206547,0.0,0.0
