,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
ARHGAP32,0.0,0.0,0.8571428571428571,0.0,0.0,0.8600690109389169,0.0,0.0
ARHGAP42,0.0,0.0,0.0,0.0,0.0,0.7568828293255397,0.7588404757635934,0.7142857142857143
ARHGAP5,0.8711068800517491,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0
ARHGAP6,0.0,0.0,0.5714285714285714,0.0,0.630977886063712,0.0,0.6932456919125148,0.6047978741782052
ARHGEF12,0.30838094438825336,0.3035814166069031,0.2857142857142857,0.0,0.0,0.36657972846712383,0.39544873578207834,0.3325539231300354
ARHGEF26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ARHGEF3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ARHGEF7,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.7449940102440971,0.756691208907536
ARID1B,0.0,0.01841414826256888,0.10559358767100743,0.16474252939224243,0.030200796467917308,0.008824169635772705,0.07535578523363386,0.022433527878352573
ARID2,0.2857142857142857,0.0,0.32907665627343313,0.42279290301459177,0.3391596419470651,0.0,0.3267281310898917,0.30020666122436523
ARID4B,0.0,0.08962962457111903,0.07398539781570435,0.3580723490033831,0.10577092000416347,0.04793754645756313,0.10425267900739398,0.12155636719294957
ARID5B,0.4340200253895351,0.0,0.522327150617327,0.5877574341637748,0.0,0.0,0.42857142857142855,0.5438395994050162
ARIH1,0.008561602660587855,0.025351090090615407,0.05131286382675171,0.10546867336545672,0.08941251039505005,0.0,0.16008895635604858,0.17328027316502162
ARIH2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL15,0.42857142857142855,0.5192276665142604,0.4364958916391645,0.5001966868128095,0.5183469653129578,0.0,0.0,0.0
ARPC2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ASAH1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAP1,0.42857142857142855,0.5864858371870858,0.44408554690224783,0.0,0.5730457476207188,0.0,0.5146781546728951,0.0
ASAP2,0.0,0.0,0.5789947509765625,0.0,0.0,0.7622795019830976,0.6497962474822998,0.5714285714285714
ASB18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASCC3,0.0,0.0,0.9128746305193219,0.8571428571428571,0.0,0.0,0.0,0.0
ASH1L,0.031147113868168423,0.0,0.043716021946498325,0.13453082527433122,0.10093476091112409,0.00021057469504220144,0.07337800094059535,0.06603036608014788
ASPH,0.5714285714285714,0.0,0.6445049728666034,0.0,0.6184242963790894,0.7213749119213649,0.0,0.0
ASTN2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ASXL1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ATAD2B,0.0,0.0,0.8571428571428571,0.0,0.8610715695789882,0.0,0.0,0.0
ATF6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATF7IP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATG7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATM,0.0,0.0,0.0,0.9026502285684858,0.8571428571428571,0.0,0.0,0.0
ATP11A,0.9390290294374738,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
ATP11B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATP13A3,0.5714285714285714,0.7017744268689837,0.58381302016122,0.0,0.5968888061387199,0.0,0.0,0.0
ATP1B1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B3,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.9317139387130737
ATP2A2,0.9248042191777911,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571
ATP2B1,0.0,0.0,0.0,0.8571428571428571,0.8693356513977051,0.0,0.0,0.0
ATP2B4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP8A1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATP8B4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATP9B,0.2857142857142857,0.0,0.33245607784816195,0.2949245146342686,0.46102782658168245,0.0,0.3677287186895098,0.47135995967047556
ATRX,0.0,0.08069182293755668,0.05191794463566372,0.27948795897620066,0.08798378705978394,0.0008684226444789342,0.1260596684047154,0.08268395492008754
ATXN1,0.4958696791103908,0.0,0.2857142857142857,0.643877352987017,0.5641592230115619,0.0,0.3723269190107073,0.3112523470606123
ATXN10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ATXN2,0.5960809418133327,0.0,0.5714285714285714,0.0,0.6598288076264518,0.0,0.5796931300844465,0.0
ATXN7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUH,0.8809748036520821,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
AUTS2,0.2857142857142857,0.41803349767412457,0.37494824613843647,0.0,0.38349606309618267,0.0,0.5147819178444999,0.4031316467693874
AXL,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.9288476535252163
B2M,0.0,0.8024204969406128,0.0,0.8116307854652405,0.7142857142857143,0.0,0.0,0.0
B4GALNT3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4GALT1,0.8638765386172703,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
B4GALT5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BABAM2,0.676362429346357,0.0,0.5714285714285714,0.622573367186955,0.6330545033727374,0.0,0.0,0.0
BACH1,0.42857142857142855,0.0,0.47082278558186125,0.0,0.6248906254768372,0.4850969740322658,0.0,0.5363622052328927
BACH2,0.0,0.0,0.8571428571428571,0.0,0.0,0.9315331663404193,0.0,0.0
BAZ1A,0.0,0.0,0.0,0.8571428571428571,0.9448504958833966,0.0,0.0,0.0
BAZ2B,0.14495984145573207,0.2380635482924325,0.19016647338867188,0.0,0.33964219263621737,0.14285714285714285,0.26266831159591675,0.18128601993833268
BBX,0.0,0.0,0.6056532859802246,0.7120572924613953,0.5714285714285714,0.0,0.6271997945649284,0.0
BCAS3,0.33758935758045744,0.0,0.2857142857142857,0.4470097933496748,0.3070468136242458,0.0,0.4666683418410165,0.47468372753688265
BCAT1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BCKDHB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL11B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BCL2,0.0,0.0,0.0,0.8571428571428571,0.0,0.9033882192202977,0.0,0.0
BCL2L13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL6,0.5714285714285714,0.0,0.7144859092576163,0.0,0.0,0.0,0.6521274021693638,0.6127485718045916
BICC1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BIRC6,0.0,0.05462156023297991,0.05273469005312238,0.24438350541251047,0.16455131769180298,0.020417937210627964,0.10973401580538068,0.05457198619842529
BMP2K,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMP5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMPR1A,0.8879589268139431,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
BMPR2,0.5714285714285714,0.7488029428890773,0.621168988091605,0.0,0.0,0.0,0.0,0.6584137422697884
BNC2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BNIP3L,0.0,0.0,0.8700018439974103,0.0,0.8571428571428571,0.0,0.0,0.0
BPTF,0.5714285714285714,0.0,0.5855823840413775,0.7949844173022679,0.5744631375585284,0.0,0.0,0.0
BRAF,0.01828803334917341,0.0,0.08723268338612147,0.04314755541937692,0.006495211805616107,0.1038554310798645,0.1323033230645316,0.1302939738546099
BRD4,0.0,0.0,0.8716690370014736,0.0,0.0,0.0,0.0,0.8571428571428571
BRWD1,0.42857142857142855,0.0,0.5000694223812648,0.606907674244472,0.45367040804454256,0.0,0.4706030317715236,0.0
BTAF1,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.8872630255562919
BTBD9,0.5813125967979431,0.0,0.0,0.5714285714285714,0.0,0.0,0.6338180729321071,0.7367891073226929
BTNL9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BTRC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZW2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMH3,0.8635280643190656,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
DGLUCY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIN1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QTNF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C1R,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C1S,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000203709,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.9141747185162136
C1orf21,0.29311381919043406,0.3914367045675005,0.2857142857142857,0.0,0.0,0.2875674707548959,0.4853694609233311,0.299017105783735
DNAAF9,0.7142857142857143,0.0,0.0,0.0,0.8476496679442269,0.0,0.7263785345213754,0.0
C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TCIM,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AOPEP,0.5808798159871783,0.0,0.46159934997558594,0.0,0.0,0.48979181902749197,0.42857142857142855,0.5507518223353794
CA8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAB39L,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CACNA1C,0.7111194559506008,0.0,0.5714285714285714,0.0,0.0,0.0,0.678242598261152,0.7109938093594143
CACNA2D1,0.6099671636308942,0.0,0.5929903558322361,0.0,0.0,0.0,0.6393044335501534,0.5714285714285714
CACNA2D3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACNB2,0.8386087502752032,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7975111092839923
CADM1,0.8571428571428571,0.0,0.0,0.0,0.0,0.9460908770561218,0.0,0.0
CADM2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CADPS2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CALD1,0.41168894938060213,0.34654591764722553,0.34265710626329693,0.0,0.0,0.2857142857142857,0.5645217725208828,0.5850686260632106
CAMK1D,0.0,0.0,0.0,0.8571428571428571,0.8985761063439506,0.0,0.0,0.0
CAMK2D,0.45930151428495136,0.0,0.29253651414598736,0.1907358169555664,0.14285714285714285,0.2073698810168675,0.29681432247161865,0.332826452595847
CAMK4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CAMTA1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CAP2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAPZB,0.0,0.3601366877555847,0.2857142857142857,0.3359964575086321,0.36268681287765503,0.0,0.36930482728140696,0.3262455293110439
CARD11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CARMIL1,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8805062089647565
ENSG00000249669,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8762359874589103
CASC15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CASK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CASQ2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153113,0.6037371754646301,0.0,0.42857142857142855,0.44568830728530884,0.43478513615471975,0.43176846844809397,0.0,0.0
CASZ1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAV1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CBLB,0.3387881687709263,0.20679099219185965,0.4336128830909729,0.4003205043928964,0.14285714285714285,0.0,0.2389840739113944,0.20959107364927018
CCDC141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000223745,0.0,0.0,0.0,0.0,0.0,0.8930177858897618,0.8571428571428571,0.0
CCDC80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CCDC88A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CCDC88C,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCDC91,0.5839663233075824,0.0,0.5714285714285714,0.7028121863092694,0.6569206970078605,0.0,0.0,0.0
CCDC93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCND3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCNL1,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8602897013936724
CCNY,0.0,0.5383500371660505,0.037371269294193814,0.11952382326126099,0.2869233659335545,0.02507340056555612,0.028523802757263184,0.00645726067679269
CCSER1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCSER2,0.7267100214958191,0.0,0.7142857142857143,0.8780838080814907,0.0,0.0,0.0,0.0
CD163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD163L1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CD247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD36,0.7142857142857143,0.7279306735311236,0.0,0.0,0.0,0.0,0.7415614639009748,0.0
CD44,0.0,0.0,0.0,0.8665111660957336,0.8571428571428571,0.0,0.0,0.0
CD53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CD59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CD96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CDC14A,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CDC14B,0.8770724875586373,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571
CDC27,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.8639350959232875,0.0
CDC42BPA,0.3295386689049857,0.4972129208700998,0.30826555831091745,0.0,0.0,0.2857142857142857,0.524794910635267,0.3481341600418091
CDC42SE2,0.0,0.0,0.0,0.9403036492211478,0.8571428571428571,0.0,0.0,0.0
CDC73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
