,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells
ENSG00000170927,0.0,0.0,0.0,0.0,0.0,3.3176615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170890,2.846489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.071516
ENSG00000182621,1.9105874,0.0,0.0,0.0,0.0,0.0,1.9751099,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101333,0.0,0.0,0.0,0.42521697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182836,0.0,0.0,0.0,1.4255307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2291985,0.0,0.0,0.0
ENSG00000120278,0.0,0.0,0.0,0.0,0.0,0.0,1.7700143,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713668,0.0,0.0
ENSG00000076356,1.0092888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175535,2.647231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106536,0.0,0.0,1.6895354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9033136,0.0,0.0,0.0,0.0,0.0
ENSG00000154229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5140257,0.0,0.0,0.0
ENSG00000171132,0.0,0.0,2.3333418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185532,0.0,2.6405444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4880157,0.0
ENSG00000010438,3.1688073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2625833
ENSG00000127329,0.0,0.0,0.0,0.0,0.0,0.0,1.457304,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144724,0.0,2.6017756,0.0,0.0,0.0,0.0,2.8279586,0.0,0.0,0.0,0.0,2.0951514,0.0
ENSG00000173482,0.0,0.0,0.0,0.0,0.0,0.0,2.1172955,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196090,0.0,0.0,2.3258934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3280883,0.0,0.0,0.0
ENSG00000144642,0.0,3.189588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1857324,0.0
ENSG00000235904,0.0,2.0524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124232,3.478579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8094404,0.0,0.0,0.0,2.7078357
ENSG00000157110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1238198,0.0
ENSG00000115386,3.4667296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185478
ENSG00000172023,2.2418199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182901,0.0,0.0,2.4243717,0.0,1.6454003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164292,2.338623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176406,0.0,0.0,3.0618289,2.3484907,2.9882395,0.0,0.0,2.6356044,0.0,0.0,0.0,0.0,0.0
ENSG00000151692,1.0158939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185008,0.0,0.0,0.0,1.1927454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069667,1.5994334,2.2798424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125844,1.8411269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8755412,0.0,0.0,0.0
ENSG00000146555,2.6810775,0.0,2.1158814,0.0,2.1968756,0.0,0.0,0.72519445,0.0,0.0,0.0,0.0,0.0
ENSG00000184640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2552977,0.0,0.0,0.0
ENSG00000114204,2.4695106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3646498,0.0,0.0,0.0
ENSG00000105738,0.0,0.0,2.643314,0.0,1.6601875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164756,0.0,0.0,2.8085854,2.8571243,2.2787454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183780,0.0,0.0,1.8221998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151812,0.0,0.0,1.5846392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000080493,0.0,0.0,0.0,0.0,0.0,3.7181196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174640,0.0,0.0,0.0,0.0,0.0,0.0,2.6178718,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197157,1.7591844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147481,0.0,0.0,2.6661103,0.0,1.2975212,0.0,0.0,2.2038224,0.0,0.0,0.0,0.0,0.0
ENSG00000048471,0.0,0.0,1.7234902,1.387835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000271699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8106718,0.0
ENSG00000095637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8603574,0.0
ENSG00000154556,3.172814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144451,0.0,0.0,1.966064,1.9434339,2.3079586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152583,0.0,0.0,0.0,0.0,0.0,0.0,2.383029,0.0,0.0,0.0,0.0,2.1231108,0.0
ENSG00000164266,3.7875924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147488,0.0,0.0,1.5211034,0.0,0.41775602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184005,0.0,0.0,0.0,0.0,0.0,0.0,2.3827314,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145087,0.0,0.0,0.0,0.0,1.5370755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1561804
