index,B-lymphocytes,NK cells,T-lymphocytes,cilliated epithelial,endothelial,epithelial 1,epithelial 2,fibroblast 1,fibroblast 2,fibroblast 3,mast cells,mesothelial,mural cells,myeloid 1,myeloid 2,myeloid 3,pDC,plasma B-lymphocyte
ADAM9,0.0,0.0,0.0,0.0,0.0,0.0,0.31826752,0.0,0.32912374,0.0,0.0,0.32933474,0.0,0.0,0.0,0.7468323,0.0,0.0
ADAMTS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48797044,1.2838283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3677944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4278744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0583998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907382,0.69540536,1.1087728,0.0,0.0
ADAR,0.0,0.25040933,0.0,0.5030163,0.60422194,0.0,0.47899282,0.3678091,0.59857005,0.0,0.0,0.37658617,0.0,0.8376379,0.578131,0.6253298,0.7574429,0.19311178
ADCY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32510898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18431512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY4,0.0,0.0,0.0,0.0,0.5383933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002102,0.32976928,0.33831343,0.0,0.0
ADD1,0.0,0.4897732,0.0,0.4144159,0.57958955,0.0,0.4032448,0.49107486,0.58915216,0.57851803,0.0,0.3648423,0.4170816,0.4346349,0.3747574,0.37256238,0.657584,0.0
ADD3,0.0,0.0,0.0,0.6796497,0.0,0.0,0.33578166,0.0,0.2318585,0.8178235,0.0,0.36256334,0.0,0.60724205,0.0,0.0,0.54028827,0.0
ADGB,0.0,0.0,0.0,0.52691245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRA3,0.0,0.0,0.0,0.5812884,0.0,0.0,0.24526232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62534416,0.0,0.0,0.0,0.0
ADGRE5,0.0,1.0569096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899866,0.4380136,0.35914943,0.0,0.0
ADGRF5,0.0,0.0,0.0,0.0,0.654953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRG1,0.0,0.0,0.0,0.0,0.0,0.0,0.25637883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43726277,0.0
ADGRL4,0.0,0.0,0.0,0.0,1.6171701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
