index,B-lymphocytes,NK cells,T-lymphocytes,cilliated epithelial,endothelial,epithelial 1,epithelial 2,fibroblast 1,fibroblast 2,fibroblast 3,mast cells,mesothelial,mural cells,myeloid 1,myeloid 2,myeloid 3,pDC,plasma B-lymphocyte
AC010273.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012236.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AC013264.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013271.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013470.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC020656.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838123917579651,0.9411764705882353,0.0,0.0,0.0
AC023300.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC023590.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC025181.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC027644.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC060780.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC084033.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092683.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092802.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC096637.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC097376.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC119428.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC133794.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC234582.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC244090.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC245041.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AC245060.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC245297.3,0.0,0.9128873698851642,0.8939725651460535,0.8235294117647058,0.0,0.0,0.8297250165658838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC245595.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9804894293055815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.0,0.0,0.0,0.6870792122448192,0.0,0.0,0.6515420640216154,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.7391804842387929,0.7518061539706062,0.654964292750639,0.7548592897022471,0.0
ACAA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9584565863889807,0.0,0.0,0.0,0.9411764705882353,0.0,0.0
ACADM,0.0,0.0,0.0,0.8457549950655769,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8426924207631279,0.0,0.0,0.0,0.0,0.9026388210408828,0.0
ACADVL,0.0,0.0,0.0,0.4770176796352162,0.29411764705882354,0.0,0.46777772903442383,0.3367365598678589,0.3564140656415154,0.4232762140386245,0.0,0.5199828884180855,0.3487536591642043,0.3652651520336376,0.3744242892545812,0.37250101916930256,0.44318164096159096,0.30319462804233327
ACAP1,0.8382746507139767,0.875159502029419,0.8726413004538592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0
ACAP2,0.0,0.0,0.0,0.6558007071999943,0.6517447478630963,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.8452635126955369,0.7237826305277207,0.7565697045887217,0.7158543467521667,0.0
ACAT1,0.0,0.0,0.0,0.9875674528234145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
ACBD3,0.0,0.0,0.0,0.7169739498811609,0.0,0.0,0.73963902277105,0.0,0.7606150297557607,0.0,0.0,0.6873834168209749,0.0,0.0,0.6578390037312227,0.6541792469866136,0.0,0.6470588235294118
ACBD3-AS1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACBD5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACBD6,0.0,0.0,0.0,0.830054900225471,0.0,0.0,0.8235294117647058,0.0,0.8530046904788298,0.0,0.0,0.8588851234492134,0.0,0.0,0.0,0.0,0.0,0.0
ACER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9426468435455772,0.0,0.0
ACIN1,0.0,0.0,0.0,0.6717987270916209,0.0,0.0,0.647479418446036,0.0,0.7280428234268638,0.0,0.0,0.6470588235294118,0.0,0.0,0.6613203848109526,0.6536963932654437,0.6972855539882884,0.0
ACKR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO2,0.0,0.0,0.0,0.9604479775709265,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP1,0.0,0.0,0.0,0.7632522512884701,0.0,0.0,0.7296970942441154,0.5438706138554741,0.5691745701958152,0.0,0.0,0.616628531147452,0.0,0.0,0.5740789104910458,0.543926221482894,0.6398538876982296,0.5294117647058824
ACP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9549758294049431,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626829203437356,0.0,0.9411764705882353,0.0,0.0
ACSL3,0.0,0.0,0.0,0.8769878569771262,0.0,0.0,0.8272082875756657,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.8465783315546372,0.0,0.0
ACSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.7281713871394887,0.0,0.0,0.0,0.9294494565795449,0.7058823529411765,0.0,0.7747370004653931,0.7341476152924931,0.7142942828290603,0.0,0.0
ACSL5,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.9696831527878257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.9066292257869945,0.0,0.0,0.0,0.9819791457232308,0.0,0.0,0.0,0.0,0.0
ACTB,0.11233945453868192,0.18974263177198522,0.1772666608586031,0.033645075910231644,0.06268916410558364,0.06106156461379107,0.047171028221354765,0.1004584782263812,0.19487272991853602,0.0649442006559933,0.10115664496141322,0.05830943584442139,0.14950128863839543,0.28160039466970105,0.2930445741204655,0.2315753733410555,0.16624608460594625,0.0
ACTG1,0.07296181426328771,0.11016680212581859,0.11673837549546186,0.02669227123260498,0.1210973438094644,0.10040773714289945,0.07126665115356445,0.22358049014035394,0.21804925273446477,0.10571753978729248,0.052400017485899085,0.1742367569138022,0.12786327039494233,0.09734304862863877,0.15762005483402924,0.08264267795226153,0.09972077958724078,0.0
ACTL6A,0.0,0.0,0.0,0.9611426872365615,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN1,0.0,0.0,0.0,0.5300261834088493,0.6615242046468398,0.0,0.5294117647058824,0.5411605098668266,0.7420938365599689,0.0,0.0,0.5331911760218003,0.7240571484846228,0.5486912622171289,0.6054550759932574,0.0,0.0,0.0
ACTN4,0.0,0.5472060547155493,0.0,0.5076915937311509,0.5469603187897626,0.0,0.4159521600779365,0.38753437995910645,0.4822034415076761,0.0,0.0,0.42437174740959616,0.6406559909091276,0.3851288837545058,0.3625124131931978,0.35294117647058826,0.47239574965308695,0.0
ACTR10,0.0,0.0,0.0,0.803861958139083,0.0,0.0,0.7123299907235539,0.7058823529411765,0.7274097765193266,0.7500433886752409,0.0,0.7104252892382005,0.0,0.0,0.0,0.0,0.0,0.0
ACTR2,0.3790717265185188,0.42864089503007774,0.3772622206631829,0.221746423665215,0.26922918417874503,0.0,0.23445798369014964,0.1745953174198375,0.22360804501701803,0.1461803106700673,0.25317299365997314,0.181673782713273,0.0,0.5769637016689076,0.5322780328638413,0.5192443518077626,0.51587773771847,0.11764705882352941
ACTR3,0.34632668775670666,0.41372308310340433,0.35790497064590454,0.2025114052435931,0.1827769910587984,0.0,0.2049994293381186,0.1458902779747458,0.23101095942889943,0.0,0.41820793642717247,0.18774068706175862,0.17456886347602396,0.4209928968373467,0.49575042724609375,0.41198334273170023,0.3775109648704529,0.11764705882352941
ACTR6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVRL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADA2,0.0,0.0,0.0,0.739537305691663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8664049050387215,0.7815658590372871,0.8201789996203255,0.7716638691285077,0.7058823529411765
ADAM10,0.0,0.0,0.0,0.5294117647058824,0.6047837313483743,0.0,0.5729928542585934,0.0,0.5913234843927271,0.0,0.0,0.5513822401271147,0.0,0.732283378348631,0.5550711891230415,0.6429120407384985,0.5839988764594582,0.0
ADAM15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9560972452163696,0.0,0.9411764705882353,0.0,0.0
ADAM19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAM28,0.9288829354678884,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8779813051223755,0.8488006241181317,0.0,0.0
ADAM9,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.8254697182599235,0.0,0.0,0.8255438489072463,0.0,0.0,0.0,0.923069112441119,0.0,0.0
ADAMTS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9776417577967924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
