,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
LAMTOR2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNA,0.0,0.0,0.6525474220514298,0.0,0.0,0.0,0.0,0.0,0.6865469932556152,0.658753052353859,0.0,0.0,0.0,0.771777892112732,0.6,0.6509345144033432,0.0,0.6369430184364319,0.7251273632049561,0.0,0.6588979125022888
CCT3,0.0,0.0,0.0,0.0,0.0,0.0,0.9602357625961304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
IFI16,0.9380005329847336,0.0,0.9205882102251053,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUSP23,0.9844886124134063,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN2,0.6330261200666427,0.0,0.6284235268831253,0.5,0.0,0.0,0.5454145252704621,0.5142006278038025,0.595706793665886,0.501691672205925,0.5159961640834808,0.0,0.5162711441516876,0.0,0.0,0.5525282353162766,0.0,0.0,0.0,0.0,0.5209309011697769
ENSG00000224259,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD48,0.0,0.9271330952644348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9289641439914703,0.0
ITLN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711990475654602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
ITLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TSTD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9558957099914551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
PFDN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UFC1,0.0,0.0,0.0,0.8556308150291443,0.0,0.0,0.8988455891609192,0.0,0.0,0.8831901371479034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.9722803592681885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDHC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763852924108505,0.0,0.0,0.95,0.0,0.0
MGST3,0.5554488360881805,0.0,0.6079080820083618,0.0,0.0,0.7205802083015442,0.5882144391536712,0.0,0.6344934374094009,0.55,0.0,0.0,0.0,0.0,0.0,0.6893381953239441,0.0,0.6518113940954209,0.6591192156076431,0.0,0.5643207728862762
TMCO1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPC2,0.0,0.0,0.0,0.8036137342453002,0.0,0.0,0.8493412613868714,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8335230797529221,0.0,0.0,0.830145138502121
ATP1B1,0.0,0.0,0.0,0.0,0.0,0.8285179704427719,0.8,0.0,0.0,0.8383744031190872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8593096792697906,0.0,0.0,0.8234815329313279
