,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
EIF3F,0.0,1.0671015,0.0,1.2538354,0.0,0.0,1.3610096,0.0,0.0,1.000259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93690085,0.0,0.0,1.0311906
RPL27A,3.2490597,4.1813893,3.091807,3.5654113,2.8263693,2.4246843,3.1008189,3.2672765,2.790105,3.893406,3.5907469,3.2989736,3.740753,3.3561308,2.1585476,2.9932115,2.5084767,3.6407907,3.3687387,3.8897328,3.8178086
LYVE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7781343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G2,1.0137535,0.0,0.0,0.8532852,0.0,0.0,1.3145423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7714619
DKK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6745725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMA1,0.0,0.0,0.0,0.9478004,0.0,0.0,1.2072097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79061383,0.0,0.0,0.7074999
C11orf58,1.3522594,0.0,0.0,0.93568015,0.0,0.0,1.4219453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9692088,0.0,0.0,0.0,0.0,0.0
RPS13,3.2010021,3.794151,2.8347545,3.1806643,2.5411267,2.0296695,3.0530748,2.7282548,2.3382704,3.5032778,3.4022565,2.5264297,3.502876,3.0110974,1.2739322,2.9206922,2.1238165,3.2935624,3.0185637,3.5886858,3.2855175
NUCB2,0.0,0.0,0.0,0.95758396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57562673,0.0,0.0,0.0,0.83915305
LDHA,1.3938415,0.0,1.3905559,1.7261426,0.0,2.059033,0.0,0.0,0.0,0.83145565,0.0,0.0,0.0,0.0,0.0,1.1856236,0.0,1.4127192,0.543182,0.0,0.98987675
