,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
ENSG00000197061,0.0,0.0,0.0,1.5333602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3687162
ENSG00000180573,0.0,0.0,0.0,0.0,0.0,0.0,0.85625386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000206503,2.9168253,2.3083653,3.2867813,2.5012891,1.6935083,2.5011022,2.5213778,2.268564,2.6607294,2.4337854,2.9180665,2.946816,2.3627398,2.4200058,0.9939174,2.7417293,1.1953394,2.1914325,2.0584497,2.8951778,2.3748832
ENSG00000204592,2.8298316,1.9411254,2.90704,1.7416917,1.4974811,0.0,0.0,0.0,0.0,1.2441661,2.043724,2.4010892,1.6382074,0.0,0.0,1.3178093,1.0634251,0.0,0.0,2.0851207,1.0000833
ENSG00000196230,0.0,0.0,0.0,2.6913078,0.0,0.0,1.4332395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6274657,0.0,1.8173501
ENSG00000137331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5935125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4468999
ENSG00000204525,2.7097318,2.1206744,3.3237052,2.729593,2.5049808,2.2440767,2.080507,2.0631206,2.7329473,2.4220157,2.6781263,1.9691079,2.3516316,2.1145248,0.8430409,2.5690205,2.142939,2.1692824,2.2359993,2.7417293,2.3499854
ENSG00000234745,3.4769309,2.7687533,3.8471727,3.0472476,2.7868834,2.637165,2.7100527,2.3223517,2.9012516,2.9320111,3.2276735,2.7657466,2.9703603,2.7876062,1.1381084,2.8555784,2.3654797,2.5439105,2.2172332,3.2117991,2.733956
ENSG00000227507,0.0,2.003975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9120599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4755211,0.0,2.140192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
