,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
CAMK2N1,0.0,0.0,0.0,0.0,1.1270446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37215117,0.0,0.0,0.0,0.0,1.171479,0.0,0.0,0.0,0.0,0.0
CDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7103556,1.7155915
ECE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPG2,1.8465006,0.0,0.0,0.0,0.0,1.4521409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088418,0.99921507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.0,0.0,0.0,0.0,0.91285455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050813,1.6792873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7123189,0.0,1.1436976,0.0,0.0,1.1184757,0.0,0.0,0.0,0.0,0.9203751
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1282052,3.8252237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4993045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7187896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUZP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66029656
ID3,1.7087071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4552817,0.0,0.0,0.0,0.0,0.0,0.0,2.5057557,0.0,0.0,0.0,0.0,1.4748564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3657998
RPL11,3.015161,4.0400105,3.7973216,3.5226214,3.0518622,3.3151019,3.2131767,3.2781436,3.1250615,3.7314987,2.7508864,4.017284,3.6127858,3.6374514,3.6842966,3.4082158,4.1966085,2.9589746,3.2564154,3.6110156,0.0,4.028296,2.9744437,3.2054193,3.7682524,0.0,2.8359056,2.862814,2.8715487,3.460513,3.5586324,3.6378393
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054143,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.0,0.0,0.0,0.9512001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42778656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69269747
SRSF10,0.0,0.0,0.0,0.0,0.0,0.0,0.79510194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9412693,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.0,0.0,0.0,0.0,0.8122868,0.0,0.9166658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80291,0.0,0.99525714,0.0,0.0,0.0,0.0,0.9412693
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.6692612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4986947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYF2,0.0,0.0,0.0,0.0,0.73689765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32470503,0.0,0.0,0.0,0.66947967,1.07365
