,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
HP1BP3,1.3862944,1.3862944,1.3862944,1.0986123,1.0986123,1.3862944,1.3862944,1.3862944,1.3862944,1.609438,1.7917595,1.0986123,1.0986123,1.0986123,1.3862944,1.0986123,1.3862944,1.609438,1.7917595,1.3862944,1.609438,1.3862944
EIF4G3,2.0794415,1.9459101,1.609438,1.9459101,1.9459101,1.9459101,2.1972246,1.7917595,2.0794415,1.7917595,1.7917595,1.7917595,1.3862944,2.3978953,1.9459101,1.609438,1.609438,1.609438,1.3862944,1.609438,2.0794415,1.7917595
ECE1,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAP1GAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.6931472,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,1.0986123,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
CDC42,1.7917595,1.3862944,1.609438,1.609438,1.7917595,1.3862944,1.3862944,1.609438,1.0986123,1.609438,1.609438,1.609438,1.7917595,1.9459101,1.609438,1.0986123,1.609438,1.609438,1.7917595,1.7917595,1.3862944,1.609438
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7080503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHB2,0.6931472,1.7917595,1.609438,0.6931472,0.0,1.3862944,1.3862944,1.3862944,1.609438,1.7917595,1.609438,0.0,0.6931472,0.6931472,1.609438,1.7917595,1.7917595,1.609438,1.609438,1.609438,1.0986123,1.609438
KDM1A,0.6931472,0.6931472,0.6931472,0.6931472,0.0,1.0986123,0.6931472,0.6931472,0.6931472,1.3862944,0.89587975,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472
LUZP1,1.0986123,1.0986123,1.0986123,1.3862944,1.3862944,1.0986123,1.0986123,1.0986123,1.3862944,1.0986123,1.0986123,1.609438,1.609438,0.6931472,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,0.6931472,1.0986123
HNRNPR,1.3862944,1.609438,1.7917595,1.0986123,1.0986123,1.3862944,1.3862944,1.3862944,1.3862944,1.609438,1.7917595,0.6931472,1.0986123,1.3862944,1.609438,1.0986123,1.3862944,1.7917595,1.7917595,1.609438,1.3862944,1.609438
TCEA3,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,1.3862944,1.0986123,0.0,1.0986123,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ID3,1.0986123,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.609438,1.3862944,1.0986123,1.3862944,0.6931472,1.0986123
RPL11,3.2580965,3.1354942,3.583519,3.465736,3.0445225,2.944439,2.8332133,3.1780539,2.3025851,3.218876,3.0445225,2.8903718,2.6390574,3.295837,3.218876,2.8903718,3.4965076,3.465736,3.4011974,3.4965076,2.944439,3.4965076
PITHD1,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0
GALE,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0
HMGCL,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUCA1,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,1.3862944,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.6931472
PNRC2,1.0986123,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,1.0986123,1.3862944,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,1.3862944,1.0986123,0.6931472,1.0986123
SRSF10,1.0986123,1.3862944,1.3862944,0.6931472,1.0986123,1.3862944,1.0986123,1.0986123,1.0986123,1.0986123,1.3862944,0.6931472,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,1.609438,1.0986123,1.0986123,1.3862944,1.3862944
IFNLR1,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIPAL3,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAN3,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCMAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0
SRRM1,1.609438,1.3862944,1.609438,1.3862944,1.0986123,1.3862944,1.0986123,1.3862944,1.0986123,1.609438,1.609438,1.0986123,1.0986123,1.3862944,1.3862944,1.0986123,1.3862944,1.7917595,1.609438,1.609438,1.3862944,1.609438
SYF2,1.0986123,0.6931472,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,1.0986123,1.0986123,1.0986123,1.0986123,0.6931472,1.0986123
RSRP1,1.0986123,1.0986123,0.6931472,1.0986123,0.6931472,1.0986123,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472,1.0986123,1.0986123,1.0986123,0.6931472,1.0986123,1.0986123,0.6931472,1.0986123,1.0986123,1.0986123,0.6931472
TMEM50A,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472
MACO1,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
STMN1,0.6931472,1.0986123,1.3862944,0.0,0.0,1.7917595,1.0986123,0.6931472,0.6931472,2.3025851,2.1972246,0.0,0.0,0.6931472,1.3862944,0.6931472,1.0986123,2.3025851,2.0794415,1.0986123,1.0986123,1.3862944
