,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
NR3C2,0.12799918935412452,0.08575278520584106,0.009881845542362757,0.08575278520584106,0.29378282456170945,0.041522922969999765,0.041522922969999765,0.29378282456170945,0.37329472530455815,0.08575278520584106,0.2637125026612055,0.12799918935412452,0.27410225924991427,0.0,0.1687054747626895,0.041522922969999765,0.009881845542362757,0.009881845542362757,0.041522922969999765,0.041522922969999765,0.009881845542362757,0.12799918935412452
DCLK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LRBA,0.0637090631893703,0.10978405248551142,0.04034543037414551,0.04034543037414551,0.02024012804031372,0.16466200067883446,0.10978405248551142,0.08476209924334571,0.2437563453401838,0.10978405248551142,0.08476209924334571,0.02024012804031372,0.009691011338006882,0.0,0.08476209924334571,0.10978405248551142,0.08476209924334571,0.02024012804031372,0.0,0.02024012804031372,0.10978405248551142,0.04034543037414551
RPS3A,0.06695544152032762,0.05240029380435035,0.13926379737399874,0.0962082686878386,0.026332619644346692,0.026332619644346692,0.02237140280859811,0.0781392738932655,0.0,0.07194154603140694,0.0571709190096174,0.01425960518064953,0.0,0.07194154603140694,0.07194154603140694,0.026332619644346692,0.12671506972539992,0.11418732575007848,0.0962082686878386,0.1204022140729995,0.02237140280859811,0.11418732575007848
SH3D19,0.12053743430546351,0.14966522228150142,0.0979316717102414,0.12053743430546351,0.12053743430546351,0.023267067614055816,0.036512993630908784,0.023267067614055816,0.0979316717102414,0.036512993630908784,0.01511398951212565,0.07522672982442946,0.12053743430546351,0.0,0.12053743430546351,0.05251547268458775,0.176201031321571,0.05251547268458775,0.07522672982442946,0.05251547268458775,0.05251547268458775,0.12053743430546351
FHIP1A,0.0,0.24167559828077043,0.0,0.10544863768986293,0.24167559828077043,0.0,0.0,0.10544863768986293,0.24167559828077043,0.10544863768986293,0.10544863768986293,0.24167559828077043,0.24167559828077043,0.0,0.10544863768986293,0.10544863768986293,0.10544863768986293,0.10544863768986293,0.10544863768986293,0.24167559828077043,0.0,0.10544863768986293
FBXW7,0.14060149022511073,0.14060149022511073,0.052724318844931464,0.0,0.0,0.14060149022511073,0.14060149022511073,0.14060149022511073,0.3291481335957845,0.14060149022511073,0.25315217744736446,0.0,0.052724318844931464,0.14060149022511073,0.14060149022511073,0.14060149022511073,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.14060149022511073,0.052724318844931464,0.052724318844931464
ARFIP1,0.22847204832803636,0.22847204832803636,0.0,0.22847204832803636,0.22847204832803636,0.0,0.22847204832803636,0.22847204832803636,0.22847204832803636,0.22847204832803636,0.22847204832803636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM2,0.035149545896620976,0.11679196641558692,0.035149545896620976,0.035149545896620976,0.11679196641558692,0.0,0.11679196641558692,0.11679196641558692,0.11679196641558692,0.035149545896620976,0.11679196641558692,0.035149545896620976,0.11679196641558692,0.0,0.11679196641558692,0.11679196641558692,0.11679196641558692,0.035149545896620976,0.11679196641558692,0.035149545896620976,0.23924600510370164,0.11679196641558692
MND1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
TMEM131L,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399114506585258,0.0
TLR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLRG1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
