,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
ENSG00000153113,0.0,0.0,0.0,0.0,0.6470588235294118,0.7338988780975342,0.7338988780975342,0.6470588235294118,0.8368408469592824,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224032,0.0,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8235294117647058,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REEP5,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP3S1,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8235294117647058,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIC,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC12A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HINT1,0.11764705882352941,0.11764705882352941,0.22619712703368244,0.22619712703368244,0.4117647058823529,0.5649014746441561,0.44438381405437694,0.44438381405437694,0.22619712703368244,0.4117647058823529,0.44438381405437694,0.22619712703368244,0.0,0.11764705882352941,0.11764705882352941,0.22619712703368244,0.11764705882352941,0.0
PDLIM4,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCRQ,0.0,0.0,0.4117647058823529,0.4117647058823529,0.49860476045047536,0.6718330839101005,0.6435998362653396,0.49860476045047536,0.49860476045047536,0.566032721715815,0.609889524824479,0.4117647058823529,0.0,0.0,0.0,0.4117647058823529,0.0,0.0
VDAC1,0.0,0.0,0.0,0.0,0.6470588235294118,0.7773189053815954,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKP1,0.0,0.0,0.29411764705882354,0.29411764705882354,0.40266771526897654,0.5022113989381229,0.40266771526897654,0.40266771526897654,0.40266771526897654,0.5712282236884622,0.5022113989381229,0.29411764705882354,0.29411764705882354,0.0,0.29411764705882354,0.40266771526897654,0.0,0.0
UBE2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628864842302659,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
