,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
RHBDF2,0.0,0.0,0.0,0.0,0.43241805,0.0,0.0,0.0
CYGB,0.0,0.0,0.73701155,0.0,0.0,0.0,0.0,0.6476461
MXRA7,0.670532,0.0,1.4138246,0.0,0.0,1.1032588,1.30359,0.9773013
SRSF2,0.70048547,0.77719617,0.6356544,0.93860805,0.8766022,0.7804172,0.66120195,0.77158695
SEC14L1,0.85530096,0.7985627,0.0,0.0,0.47733325,0.0,0.0,0.0
SEPTIN9,0.36002892,0.0,0.0,0.0,0.0,0.22857055,0.0,0.56498235
SYNGR2,0.5822939,0.75910515,0.0,0.0,0.71248007,0.32947648,0.3904664,0.0
SOCS3,0.3663136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTH1,0.0,0.0,0.0,0.0,0.4119435,0.0,0.0,0.0
TIMP2,0.6886784,0.99575824,1.771596,0.0,1.2920562,0.721316,1.3386552,1.6001431
LGALS3BP,0.0,0.0,0.8794681,0.0,0.0,0.5602863,0.6698792,0.80826586
C1QTNF1,0.0,0.0,0.0,0.0,0.0,1.2519231,0.99565065,0.0
GAA,0.0,0.0,0.0,0.0,0.8824369,0.0,0.0,0.0
EIF4A3,0.0,0.0,0.3210749,0.0,0.7382002,0.3918528,0.0,0.0
RNF213,0.72906184,0.8148389,0.35209206,0.6306356,0.76310134,0.0,0.0,0.46123344
NDUFAF8,0.2241998,0.0,0.478159,0.0,0.45912132,0.51081383,0.5057837,0.5032876
ACTG1,3.0445523,2.8455973,2.765546,2.694724,2.8764822,3.2399678,3.2620878,3.3649814
MCRIP1,0.36713132,0.49161893,0.50863534,0.0,0.590009,0.6305165,0.6997049,0.4538422
P4HB,0.7516867,0.94079286,1.2553585,1.0060432,1.1644121,1.1282214,1.2091985,1.1849927
ARHGDIA,0.7295897,0.6493664,0.70782197,0.77493644,1.0703207,0.76099896,0.73565966,0.82716906
ANAPC11,0.748983,0.77719617,0.96392345,0.42375734,0.90864205,1.1425002,1.058398,0.87382704
CENPX,0.0,0.0,0.43257952,0.0,0.45181894,0.31436983,0.4245059,0.0
DCXR,0.0,0.0,0.6386671,0.0,0.40230697,0.0,0.40128428,0.7152044
RFNG,0.0,0.0,0.29888874,0.0,0.0,0.0,0.0,0.0
SLC16A3,0.0,0.0,0.0,0.0,0.8028901,0.0,0.0,0.0
CSNK1D,0.0,0.0,0.0,0.0,0.3690286,0.0,0.0,0.0
CYBC1,0.0,0.0,0.0,0.0,0.43722928,0.0,0.0,0.0
WDR45B,0.32850212,0.33877373,0.0,0.0,0.41048574,0.0,0.13850835,0.0
METRNL,0.5079929,1.1636735,0.2659709,0.0,1.0019952,0.0,0.36750633,0.0
USP14,0.15940925,0.0,0.41314414,0.0,0.40276685,0.35247415,0.39860976,0.40554845
COLEC12,0.0,0.0,0.48826826,0.0,0.50211346,0.0,0.0,0.0
YES1,0.5277537,0.402471,0.0,0.0,0.0,0.0,0.0,0.0
SMCHD1,0.47722918,0.6620418,0.3004548,0.35832953,0.42882597,0.0,0.0,0.37536228
EMILIN2,0.0,0.0,0.0,0.0,0.8451576,0.0,0.0,0.0
MYL12A,2.3532138,2.117524,1.6752808,2.0503356,2.0212657,1.988563,2.2068517,1.8615651
MYL12B,2.0082817,2.6765914,1.7671212,1.6617441,1.7212698,1.7706132,1.949605,2.1754098
TGIF1,0.0,0.0,0.0,0.0,0.43360433,0.0,0.0,0.0
EPB41L3,0.0,0.51813084,0.0,0.0,0.64829886,0.0,0.0,0.0
PTPRM,0.66977054,0.69891334,0.0,0.0,0.0,0.0,0.0,0.0
NDUFV2,0.78512317,0.61241424,0.83096,0.85119706,0.9401505,1.2309661,0.94538796,0.83651185
ANKRD12,1.1081922,1.1455952,0.9273548,1.1018227,0.9050037,0.9282299,0.88841116,1.0082759
TWSG1,0.0,0.0,0.0,0.0,0.0,0.5379569,0.56038296,0.0
RALBP1,0.76349366,0.628632,0.6781185,0.0,0.5934242,0.80366194,0.7213838,0.8066486
RAB31,0.0,0.0,0.70706534,0.0,0.9701488,0.44247878,0.6140243,0.0
VAPA,0.9596165,1.0054923,0.9921456,0.87939596,1.0154517,1.1019535,1.0910959,0.86793166
APCDD1,0.0,0.0,0.41316086,0.0,0.0,0.0,0.0,0.0
NAPG,0.0,0.0,0.0,0.0,0.0,0.0,0.37240335,0.0
CHMP1B,0.0,0.0,0.0,0.0,0.47564426,0.0,0.0,0.0
TUBB6,0.55424786,0.0,0.3930778,0.0,0.0,0.6381826,0.63002396,0.4481535
